1 579 1
1 820 1
1 1063 1
2 579 1
2 820 1
2 1063 1
3 579 1
3 820 1
3 1063 1
4 63 1
4 203 1
4 432 1
4 544 1
5 34 1
5 104 1
5 1066 1
6 136 1
6 587 1
6 678 1
6 1066 1
7 136 1
7 587 1
7 678 1
7 1066 1
9 35 1
9 829 1
9 1020 1
9 1104 1
10 100 1
10 136 1
10 634 1
10 974 1
11 1066 1
12 13 1
12 109 1
12 684 1
13 13 1
13 109 1
13 684 1
14 138 1
14 684 1
14 1059 1
15 203 1
15 684 1
15 712 1
15 757 1
15 998 1
16 203 1
16 813 1
16 1057 1
17 81 1
17 240 1
18 83 1
18 240 1
19 203 1
19 432 1
19 444 1
20 240 1
22 102 1
22 379 1
22 444 1
22 506 1
22 731 1
22 986 1
22 1007 1
23 102 1
23 379 1
23 444 1
23 506 1
23 731 1
23 986 1
23 1007 1
24 136 1
24 974 1
24 1007 1
25 136 1
25 974 1
25 1007 1
26 34 1
26 123 1
26 136 1
26 550 1
26 761 1
26 949 1
26 970 1
26 1007 1
26 1069 1
26 1096 1
27 34 1
27 123 1
27 136 1
27 550 1
27 761 1
27 949 1
27 970 1
27 1007 1
27 1069 1
27 1096 1
28 203 1
28 239 1
28 684 1
28 836 1
29 497 3
30 18 1
30 138 1
30 676 1
30 1105 1
31 203 1
31 974 1
32 34 1
32 1064 1
33 289 1
34 289 1
35 58 1
35 203 1
36 263 1
36 545 1
37 97 1
37 154 1
37 302 1
37 337 1
37 708 1
37 827 1
37 1114 2
38 97 1
38 154 1
38 302 1
38 337 1
38 708 1
38 827 1
38 1114 2
39 203 1
39 451 1
40 109 1
40 203 1
40 239 1
40 684 1
41 109 1
41 203 1
41 239 1
41 684 1
42 470 1
42 1063 1
43 470 1
43 1063 1
44 470 1
44 1063 1
45 6 1
45 331 1
45 1063 1
46 6 1
46 331 1
46 1063 1
47 6 1
47 331 1
47 1063 1
48 608 1
48 635 1
48 975 1
49 813 1
49 1098 1
50 608 1
50 635 1
50 975 1
51 44 1
51 991 1
52 424 1
53 394 1
53 409 1
54 580 1
54 685 1
54 716 1
54 986 1
55 136 1
55 443 1
55 684 1
55 994 1
55 1007 1
56 701 1
58 202 1
58 444 1
58 698 1
59 242 1
59 347 1
59 869 1
60 444 1
60 973 1
61 444 1
61 973 1
62 444 1
62 973 1
63 444 1
63 973 1
65 421 1
66 34 2
66 37 1
66 106 1
66 478 1
66 598 1
66 781 1
66 892 1
66 948 1
67 34 2
67 37 1
67 106 1
67 478 1
67 598 1
67 781 1
67 892 1
67 948 1
68 34 2
68 37 1
68 106 1
68 478 1
68 598 1
68 781 1
68 892 1
68 948 1
69 34 2
69 37 1
69 106 1
69 478 1
69 598 1
69 781 1
69 892 1
69 948 1
70 34 2
70 37 1
70 106 1
70 478 1
70 598 1
70 781 1
70 892 1
70 948 1
71 34 2
71 37 1
71 106 1
71 478 1
71 598 1
71 781 1
71 892 1
71 948 1
72 34 2
72 37 1
72 106 1
72 478 1
72 598 1
72 781 1
72 892 1
72 948 1
73 34 2
73 37 1
73 106 1
73 478 1
73 598 1
73 781 1
73 892 1
73 948 1
74 34 2
74 37 1
74 106 1
74 478 1
74 598 1
74 781 1
74 892 1
74 948 1
75 34 2
75 37 1
75 106 1
75 478 1
75 598 1
75 781 1
75 892 1
75 948 1
76 49 1
76 658 1
76 926 1
76 966 1
77 64 1
77 86 1
77 129 1
77 534 1
77 954 1
77 1099 1
78 94 1
78 366 1
78 396 1
78 466 1
78 703 1
78 986 1
78 998 1
78 1034 1
79 94 1
79 366 1
79 396 1
79 466 1
79 703 1
79 986 1
79 998 1
